N,P,K,pH,Moisture,Fertility
78.94,77.38,51.86,6.36,64.36,High
107.48,55.66,66.15,7.15,47.18,High
12.43,18.14,21.62,4.96,19.66,Low
6.91,6.82,16.12,5.56,8.15,Low
30.0,15.0,38.8,5.59,54.53,Medium
34.22,9.35,14.16,4.3,14.12,Low
87.32,55.53,65.94,7.17,71.27,High
82.89,57.1,36.57,6.77,45.0,High
73.31,45.24,67.45,7.43,45.52,High
25.29,14.12,23.36,6.0,30.83,Low
62.32,23.58,41.79,7.1,54.02,Medium
23.85,8.31,14.77,5.33,27.42,Low
28.39,16.7,19.82,4.86,17.3,Low
32.33,49.43,45.09,6.19,42.03,Medium
47.01,24.49,27.49,6.37,45.95,Medium
44.1,7.49,12.04,5.22,29.84,Low
36.91,23.13,34.7,6.02,45.39,Medium
9.2,5.69,10.49,5.76,31.42,Low
11.22,17.2,2.23,5.77,29.97,Low
63.99,62.7,46.09,6.68,62.68,High
33.22,48.42,34.79,7.22,40.39,Medium
92.74,57.85,51.94,6.84,73.26,High
41.53,25.22,46.71,5.78,53.86,Medium
37.74,34.79,25.43,5.83,41.21,Medium
50.71,35.98,24.19,6.81,57.27,Medium
37.68,19.45,29.11,5.84,44.64,Medium
93.09,51.08,49.12,7.13,55.85,High
93.37,45.5,63.88,6.59,56.71,High
58.75,21.88,31.35,6.25,64.73,Medium
41.65,27.56,32.36,5.65,37.46,Medium
85.59,52.46,68.91,7.01,66.88,High
26.56,12.44,20.61,4.88,29.95,Low
121.48,71.8,72.05,6.73,55.11,High
80.93,48.53,46.04,7.21,57.27,High
42.55,55.0,24.59,6.77,70.0,Medium
24.64,7.78,19.13,5.93,23.7,Low
102.33,59.97,37.96,6.26,53.76,High
113.07,51.29,41.84,6.74,53.87,High
46.18,25.47,34.62,7.09,25.0,Medium
92.27,64.51,56.09,6.56,67.02,High
74.79,25.7,34.25,6.29,50.23,Medium
87.08,47.06,62.25,7.9,59.16,High
55.3,26.43,20.7,5.87,57.22,Medium
33.3,17.3,0.0,6.0,21.78,Low
46.74,35.28,30.4,6.57,54.25,Medium
56.76,16.78,35.46,7.37,68.05,Medium
87.45,87.32,38.68,6.28,76.04,High
35.42,13.71,19.18,5.76,23.42,Low
59.29,17.9,15.0,5.5,40.2,Medium
34.41,27.82,28.91,5.5,40.63,Medium
76.61,29.24,35.64,6.88,60.39,Medium
83.2,58.15,64.33,6.91,82.26,High
80.31,39.22,66.39,8.0,45.8,High
53.38,41.55,15.0,5.58,47.91,Medium
38.9,40.92,27.01,6.26,32.25,Medium
41.58,13.2,8.37,4.84,27.1,Low
39.37,20.63,18.36,4.47,13.91,Low
90.46,30.0,58.09,6.99,73.26,High
57.75,25.28,31.36,5.84,51.11,Medium
67.71,32.11,37.31,6.75,58.92,Medium
50.85,32.83,39.95,6.83,60.96,Medium
33.89,19.15,3.45,4.91,28.3,Low
49.14,25.23,27.11,6.41,58.19,Medium
29.6,11.0,15.11,5.0,24.52,Low
95.58,66.45,41.69,6.93,53.11,High
49.04,15.71,36.71,6.27,29.61,Medium
67.35,81.03,52.11,6.84,72.32,High
58.45,41.23,22.77,5.74,41.64,Medium
66.59,33.09,28.59,7.5,36.0,Medium
32.82,25.37,38.51,6.16,59.24,Medium
31.83,13.86,21.32,3.59,20.39,Low
85.79,44.67,48.58,6.95,74.41,High
16.59,16.45,17.91,5.59,35.87,Low
62.8,54.19,45.91,6.5,58.8,High
60.5,39.56,32.73,5.5,56.86,Medium
24.06,15.06,20.05,4.54,16.97,Low
30.29,7.62,18.76,5.1,22.18,Low
105.47,46.98,64.19,6.95,60.52,High
54.51,23.92,29.52,6.66,56.41,Medium
77.33,47.2,38.47,6.94,70.34,High
22.6,20.0,14.59,5.38,25.69,Low
100.91,53.28,42.47,6.46,52.73,High
89.14,70.01,52.37,6.44,67.2,High
37.85,34.7,17.35,6.76,60.38,Medium
68.53,62.34,37.27,7.53,61.01,High
16.59,11.82,16.3,5.19,21.11,Low
95.94,55.74,95.92,7.25,45.0,High
30.0,50.39,15.0,6.19,45.43,Medium
53.67,34.52,18.71,6.25,31.47,Medium
84.56,62.03,38.2,7.15,50.73,High
16.52,12.62,7.73,3.5,35.74,Low
28.95,19.81,2.61,6.0,27.03,Low
36.86,23.04,16.12,6.08,60.05,Medium
62.09,34.29,15.0,6.75,36.81,Medium
91.73,39.82,59.58,6.75,68.59,High
95.65,30.0,58.5,6.79,61.0,High
26.6,15.19,13.63,4.43,32.4,Low
72.71,29.76,24.68,6.56,27.41,Medium
90.52,50.41,60.91,8.0,45.0,High
30.0,26.88,23.23,6.18,40.98,Medium
48.89,23.11,21.57,6.28,38.12,Medium
44.28,21.03,36.83,5.55,69.42,Medium
57.39,42.29,24.56,6.73,38.77,Medium
91.8,45.82,60.12,7.4,69.06,High
45.92,20.44,27.63,6.66,65.53,Medium
55.27,18.94,15.0,6.01,50.29,Medium
40.37,32.69,30.73,6.63,25.0,Medium
106.84,54.11,52.38,6.16,55.74,High
79.74,43.53,67.27,7.38,56.64,High
58.41,33.92,24.91,5.5,33.56,Medium
86.04,62.37,71.28,6.87,57.1,High
11.93,8.19,19.84,5.34,40.35,Low
80.0,30.14,49.34,5.5,52.47,Medium
45.61,34.47,33.87,6.76,58.51,Medium
100.08,48.67,41.66,7.18,60.09,High
62.25,27.19,36.31,7.1,42.96,Medium
62.05,25.61,38.3,6.63,43.92,Medium
125.53,51.7,83.6,7.51,59.02,High
59.85,40.71,38.91,6.18,67.56,Medium
29.4,9.64,8.86,6.0,30.48,Low
44.38,23.15,15.06,6.22,54.51,Medium
103.96,52.6,55.29,7.36,64.29,High
29.82,2.16,12.49,6.0,37.63,Low
102.24,53.71,45.18,6.69,56.59,High
54.77,38.82,35.8,5.76,41.75,Medium
57.09,26.94,19.35,5.5,61.42,Medium
37.62,42.32,15.0,6.68,39.79,Medium
38.14,25.17,32.57,7.5,70.0,Medium
47.09,35.09,36.78,6.52,51.56,Medium
29.95,13.2,7.01,5.15,31.85,Low
41.31,15.12,44.63,6.23,45.9,Medium
12.25,8.81,13.31,4.78,37.65,Low
59.07,27.65,33.14,6.74,32.15,Medium
38.43,10.94,16.87,4.57,29.95,Low
42.81,0.73,19.14,4.91,18.4,Low
73.33,40.13,68.62,6.97,57.84,High
50.43,24.33,31.2,6.18,35.15,Medium
102.3,46.58,51.12,6.62,54.82,High
61.71,21.18,28.36,6.14,58.61,Medium
9.21,12.42,7.61,4.11,23.21,Low
112.09,56.72,58.71,7.0,63.14,High
89.73,73.33,44.9,7.03,73.25,High
68.37,36.77,25.62,7.31,27.62,Medium
54.58,32.93,19.11,6.35,55.23,Medium
109.1,54.35,61.29,7.7,61.53,High
99.36,59.22,50.36,6.94,62.37,High
86.82,51.64,51.39,6.66,56.1,High
49.62,37.4,21.15,6.19,68.03,Medium
21.2,13.09,13.53,5.05,17.5,Low
36.22,4.71,16.16,5.49,20.32,Low
94.34,54.7,41.28,6.96,68.05,High
77.02,27.73,33.01,7.5,34.3,Medium
110.5,47.36,64.65,6.17,65.38,High
112.62,67.4,64.56,6.0,59.7,High
48.51,37.26,36.0,6.63,27.61,Medium
57.34,23.65,21.99,6.25,52.8,Medium
31.88,7.9,13.19,4.01,28.03,Low
39.15,24.07,6.25,5.62,38.36,Low
90.73,56.28,63.08,6.5,64.62,High
62.33,21.17,26.38,7.23,69.27,Medium
37.67,2.27,17.1,4.49,14.42,Low
7.05,17.65,19.75,4.31,14.12,Low
16.43,5.6,7.84,6.0,13.5,Low
70.89,40.93,50.16,7.4,64.74,High
25.53,19.9,0.0,4.69,9.04,Low
62.03,39.62,22.27,5.97,52.81,Medium
21.72,23.27,6.45,3.5,28.17,Low
34.92,14.05,17.25,5.88,21.04,Low
86.95,48.72,50.76,7.41,54.16,High
78.72,70.79,48.8,7.17,57.57,High
41.95,31.08,22.92,6.16,34.77,Medium
30.18,8.88,0.0,4.11,28.6,Low
40.2,26.62,36.15,5.91,42.11,Medium
41.58,15.0,30.59,5.5,45.68,Medium
26.37,9.82,7.96,3.98,5.0,Low
17.48,11.3,18.92,5.45,19.51,Low
64.42,18.01,34.69,5.88,37.92,Medium
114.48,59.89,39.38,6.0,76.8,High
38.71,23.51,28.8,6.87,26.79,Medium
23.98,20.22,21.4,4.54,8.92,Low
5.02,11.17,23.84,5.85,25.32,Low
60.4,18.26,37.83,5.5,68.21,Medium
39.79,26.51,32.44,6.44,44.24,Medium
55.89,27.04,35.12,7.25,52.62,Medium
89.8,45.72,76.74,7.11,65.29,High
89.61,44.47,60.87,6.47,74.7,High
65.96,49.67,27.13,5.5,62.44,Medium
81.2,56.32,48.15,6.51,66.87,High
24.06,17.18,8.25,5.54,16.93,Low
65.81,35.89,27.76,6.26,40.65,Medium
30.0,32.64,40.05,5.5,54.31,Medium
56.67,37.32,33.49,6.18,55.08,Medium
60.0,80.33,44.07,7.15,58.59,High
60.37,35.31,15.0,5.5,28.68,Medium
43.27,36.17,33.21,7.18,67.95,Medium
29.52,10.8,3.87,5.37,14.74,Low
57.06,36.45,22.31,5.64,59.44,Medium
76.94,55.13,67.79,7.78,57.9,High
101.07,38.51,53.6,6.56,52.18,High
87.58,59.68,46.82,6.76,45.0,High
29.12,16.68,8.55,4.99,38.79,Low
57.39,23.31,31.34,6.21,55.72,Medium
30.0,42.98,40.32,5.75,67.06,Medium
95.06,54.68,43.11,6.74,45.0,High
66.81,38.73,37.96,6.29,32.07,Medium
49.02,36.26,26.61,6.51,32.88,Medium
77.18,17.07,15.0,6.31,42.85,Medium
16.37,9.98,19.8,5.64,28.83,Low
54.51,25.19,39.23,6.84,63.04,Medium
30.91,24.13,18.79,6.39,54.98,Medium
41.22,29.31,41.35,6.58,34.63,Medium
19.13,9.0,14.49,4.99,36.82,Low
40.22,35.19,20.35,5.8,38.9,Medium
83.49,48.46,42.07,7.26,57.48,High
31.03,17.28,9.4,3.5,24.69,Low
16.73,15.52,11.63,5.15,7.91,Low
53.0,44.82,34.32,5.5,47.19,Medium
25.22,12.51,8.71,4.46,19.61,Low
18.4,12.06,18.15,3.94,29.94,Low
56.1,47.89,23.55,6.44,42.31,Medium
109.57,40.09,56.58,7.08,68.62,High
101.13,57.74,38.23,7.61,60.36,High
38.44,33.22,19.94,7.46,48.37,Medium
72.39,31.04,19.05,6.89,70.0,Medium
89.95,63.55,43.4,7.77,64.78,High
93.8,56.29,55.25,6.6,65.14,High
46.85,32.39,21.79,6.95,41.16,Medium
23.38,7.73,11.88,6.0,35.47,Low
38.86,10.75,16.13,5.85,37.24,Low
76.39,46.15,69.0,7.55,65.54,High
34.58,8.69,11.91,3.98,30.8,Low
103.85,54.1,80.11,6.43,68.04,High
78.09,36.39,44.96,6.89,61.54,High
51.01,35.1,15.0,6.05,62.91,Medium
11.87,7.7,17.92,5.13,45.0,Low
38.99,29.61,20.36,5.67,49.12,Medium
44.48,25.25,29.86,5.6,43.87,Medium
41.97,35.6,24.55,6.29,64.85,Medium
83.21,58.72,56.63,6.75,71.25,High
20.69,9.25,18.1,4.85,27.28,Low
41.25,11.49,11.6,6.0,45.0,Low
33.1,17.61,25.73,5.74,48.03,Medium
5.46,17.42,14.77,3.79,31.15,Low
39.18,44.51,24.75,5.5,45.53,Medium
71.9,50.65,63.71,6.83,87.89,High
37.61,44.26,50.87,5.83,51.93,Medium
23.49,12.89,7.0,3.9,17.18,Low
77.14,55.44,62.22,6.52,62.39,High
52.82,25.29,36.82,6.1,70.0,Medium
24.56,10.95,0.0,4.31,16.26,Low
53.46,34.46,21.52,7.26,66.73,Medium
33.66,15.48,0.0,5.11,16.17,Low
18.13,4.14,3.62,5.39,32.65,Low
18.77,14.12,14.85,5.16,19.06,Low
22.49,6.33,7.8,4.51,28.27,Low
96.86,72.31,73.75,6.73,64.38,High
15.19,16.3,11.65,3.73,35.41,Low
60.94,26.57,33.47,6.18,25.0,Medium
45.14,21.72,36.57,5.5,44.57,Medium
38.8,15.0,29.89,5.5,52.86,Medium
12.08,11.8,5.37,6.0,20.69,Low
89.73,74.81,56.61,6.23,66.98,High
89.83,53.46,67.5,6.21,69.47,High
80.0,30.26,33.9,5.65,63.86,Medium
67.3,39.57,22.57,5.5,58.75,Medium
11.73,10.83,12.86,4.73,19.37,Low
13.33,16.49,7.23,5.87,23.35,Low
24.99,12.05,26.68,6.0,25.43,Low
40.39,22.76,55.0,7.13,50.37,Medium
91.43,51.89,67.9,6.2,61.97,High
34.13,40.95,15.0,5.9,63.68,Medium
38.84,12.95,0.0,5.34,38.59,Low
108.53,51.82,66.31,6.69,68.42,High
54.22,15.0,31.51,7.18,32.97,Medium
89.29,69.46,32.99,6.53,49.84,High
62.58,27.32,50.61,6.89,59.85,Medium
54.61,37.43,29.94,5.65,66.3,Medium
55.52,42.54,29.38,6.02,25.98,Medium
58.5,22.22,15.0,6.92,35.96,Medium
50.57,37.71,36.73,5.75,47.97,Medium
42.79,38.64,32.61,6.56,40.5,Medium
27.78,15.93,27.11,4.23,26.57,Low
100.01,57.8,33.35,6.19,48.45,High
39.88,39.96,24.43,6.97,70.0,Medium
29.75,19.61,25.42,5.39,26.21,Low
100.58,67.66,64.84,6.92,66.68,High
39.79,29.88,29.63,6.63,54.83,Medium
45.76,22.59,27.46,5.68,28.71,Medium
70.3,33.13,28.6,5.72,34.32,Medium
77.65,46.07,57.6,6.94,59.78,High
48.53,44.39,25.04,6.33,25.0,Medium
71.9,42.56,38.79,6.25,49.95,Medium
90.99,50.33,71.04,7.03,60.6,High
49.21,16.14,40.39,6.7,52.51,Medium
71.67,50.09,39.83,6.06,53.12,Medium
38.62,8.43,14.54,4.85,26.07,Low
23.58,3.24,12.59,5.3,43.6,Low
71.91,50.08,41.39,6.19,54.31,High
0.74,10.79,9.14,6.0,31.04,Low
72.51,26.56,43.77,7.16,40.41,Medium
105.92,68.18,64.23,6.19,60.11,High
59.57,22.62,28.8,6.81,41.18,Medium
51.8,27.84,33.5,7.5,25.0,Medium
90.23,61.0,67.02,6.56,55.3,High
40.76,22.45,25.65,6.07,40.2,Medium
26.92,14.71,21.29,4.29,32.54,Low
25.2,26.49,8.18,5.38,34.27,Low
86.2,45.15,65.68,6.0,57.7,High
72.97,43.38,43.51,6.67,64.38,High
36.08,26.94,24.83,6.76,25.0,Medium
30.75,9.98,26.92,4.67,18.75,Low
57.82,37.7,32.51,5.82,44.2,Medium
43.51,18.51,15.0,6.25,37.89,Medium
76.4,44.01,82.09,6.53,59.3,High
84.36,55.38,52.85,7.18,70.81,High
10.11,7.5,4.3,4.82,5.0,Low
101.32,48.24,57.64,6.11,45.0,High
95.09,41.17,50.3,6.54,67.87,High
59.92,22.69,29.43,5.5,61.84,Medium
93.51,57.97,71.38,6.0,55.45,High
46.66,47.17,20.34,5.5,38.6,Medium
46.64,38.33,29.77,6.59,51.26,Medium
91.52,38.64,42.4,7.25,56.67,High
29.21,19.6,13.19,5.38,20.3,Low
11.59,6.62,6.77,3.5,26.3,Low
88.59,51.13,45.4,6.0,78.27,High
47.08,20.03,9.16,3.79,29.41,Low
60.94,42.46,39.21,5.96,44.56,Medium
42.1,32.98,38.83,6.63,41.25,Medium
6.65,14.82,9.97,3.85,29.7,Low
22.12,7.51,10.82,4.97,23.4,Low
85.47,30.0,55.29,6.56,50.88,High
90.06,55.49,57.5,6.09,56.53,High
79.23,56.3,66.19,6.49,58.71,High
13.47,17.18,20.13,4.89,29.47,Low
33.89,9.0,23.83,4.48,27.02,Low
97.27,58.21,81.78,7.05,63.06,High
41.43,13.78,18.48,6.0,34.08,Low
34.74,35.26,21.39,6.37,40.51,Medium
99.34,47.64,52.26,6.0,62.91,High
89.02,59.16,64.92,6.4,71.33,High
50.89,35.99,24.98,7.5,69.52,Medium
45.71,37.24,21.25,6.63,54.24,Medium
27.52,10.03,8.98,5.26,23.71,Low
14.13,10.72,9.8,6.0,11.85,Low
45.29,18.83,25.39,6.3,65.37,Medium
47.58,22.85,19.85,6.44,70.0,Medium
49.74,32.56,26.8,6.19,46.66,Medium
77.91,39.75,62.93,7.21,73.07,High
67.05,65.21,37.03,6.3,68.82,High
87.73,33.64,55.85,6.86,64.63,High
62.35,31.87,31.81,6.49,61.28,Medium
40.88,46.83,24.64,5.91,47.22,Medium
36.68,8.68,23.98,4.07,36.56,Low
32.3,23.45,29.06,6.26,52.6,Medium
85.9,63.24,45.96,7.05,63.13,High
45.18,20.98,19.39,5.92,44.36,Medium
114.21,69.34,46.78,6.45,53.22,High
89.45,53.38,72.7,7.69,48.95,High
16.65,10.66,5.16,4.77,19.84,Low
21.75,8.96,26.54,5.66,19.75,Low
50.75,27.96,29.5,6.89,68.15,Medium
27.01,5.91,13.02,5.78,12.3,Low
22.74,13.88,17.01,3.98,14.16,Low
38.72,16.49,24.85,7.5,55.59,Medium
24.91,8.83,10.69,4.93,18.18,Low
33.4,16.58,5.52,4.41,35.69,Low
55.41,26.13,22.15,6.78,51.09,Medium
58.73,26.4,22.74,7.5,26.38,Medium
21.35,18.32,8.74,4.03,27.46,Low
8.27,9.91,16.07,4.81,36.17,Low
40.11,4.92,16.06,4.97,11.4,Low
30.0,26.18,33.39,6.42,30.04,Medium
22.28,12.12,15.25,6.0,33.06,Low
93.48,61.38,67.14,7.26,76.25,High
37.66,34.74,26.32,5.5,38.71,Medium
95.4,61.2,66.06,6.05,60.61,High
50.16,22.52,24.68,6.62,28.47,Medium
51.97,45.33,41.69,6.52,42.96,Medium
58.3,42.14,30.96,5.76,47.37,Medium
17.63,4.95,3.14,4.75,35.06,Low
64.78,15.0,50.98,6.55,34.73,Medium
70.03,57.38,61.19,7.09,59.63,High
39.23,24.23,43.4,6.99,48.87,Medium
58.91,44.61,39.45,7.5,42.51,Medium
10.6,0.5,6.29,5.55,28.5,Low
38.29,21.22,3.7,4.87,32.7,Low
30.66,18.22,37.07,5.61,50.63,Medium
37.66,34.41,31.19,5.94,58.99,Medium
40.21,22.02,12.34,5.33,26.95,Low
41.37,15.0,39.11,6.14,43.76,Medium
31.3,6.73,9.3,4.06,19.86,Low
66.24,43.07,17.16,6.42,45.23,Medium
29.99,14.03,18.89,6.0,19.75,Low
29.06,8.64,2.95,4.74,34.31,Low
36.12,3.36,19.71,5.72,38.36,Low
32.49,3.94,20.65,5.72,10.86,Low
39.19,16.61,18.83,4.72,6.32,Low
39.06,2.8,1.55,5.47,5.69,Low
88.22,61.7,51.55,6.43,64.86,High
47.04,24.42,27.64,7.49,25.0,Medium
74.54,35.34,40.21,6.7,47.49,Medium
41.16,25.23,15.0,6.19,53.48,Medium
64.7,24.18,30.76,6.37,50.47,Medium
50.65,30.15,30.79,6.88,56.2,Medium
16.12,3.76,18.45,5.56,37.39,Low
63.02,32.15,27.11,6.53,40.36,Medium
18.59,4.56,9.14,5.14,28.86,Low
42.79,30.29,15.0,7.04,27.89,Medium
39.34,15.0,15.0,5.72,41.33,Medium
41.31,26.82,30.38,6.99,55.37,Medium
70.92,43.47,26.72,5.94,37.06,Medium
45.8,27.46,23.5,6.49,35.12,Medium
25.38,16.47,8.72,4.45,5.0,Low
25.49,14.54,20.47,5.59,29.08,Low
6.9,16.87,26.5,5.2,32.84,Low
64.59,37.28,32.22,6.41,29.22,Medium
86.29,55.73,65.88,7.05,54.76,High
32.6,13.02,14.39,5.65,32.22,Low
49.72,35.33,15.0,5.64,54.31,Medium
99.43,74.86,52.37,7.49,61.55,High
53.7,54.87,20.05,6.69,37.03,Medium
42.82,18.76,7.12,5.14,27.91,Low
96.01,59.52,42.97,6.33,45.0,High
73.66,49.51,53.62,6.0,75.84,High
34.36,16.55,4.01,5.74,20.5,Low
23.22,25.77,13.94,4.22,37.43,Low
6.99,15.57,12.25,3.78,27.46,Low
24.09,2.97,22.14,4.1,29.22,Low
15.25,21.34,15.6,6.0,8.95,Low
69.21,29.43,34.97,6.18,53.17,Medium
52.16,27.76,41.71,5.5,46.87,Medium
68.25,26.27,15.0,5.5,30.29,Medium
30.95,25.47,36.45,7.28,45.72,Medium
47.24,36.11,25.02,5.76,59.44,Medium
15.2,11.61,11.37,4.25,32.51,Low
78.76,71.64,45.51,6.58,71.87,High
89.88,63.54,48.69,6.6,65.81,High
37.74,29.21,35.75,6.32,55.28,Medium
62.79,24.35,37.15,6.81,42.35,Medium
33.64,22.18,25.18,5.96,57.62,Medium
81.97,52.24,41.77,6.88,51.97,High
126.88,56.82,50.45,6.84,72.94,High
44.85,22.54,35.39,6.47,47.8,Medium
50.98,46.23,20.28,6.38,56.65,Medium
104.57,39.42,64.75,6.6,58.83,High
0.0,12.39,16.06,5.12,21.63,Low
31.26,7.45,17.17,5.36,27.48,Low
60.0,65.85,64.73,6.92,83.7,High
59.19,28.84,22.12,5.83,51.15,Medium
64.86,43.64,17.8,6.53,39.95,Medium
23.25,12.1,7.01,3.98,39.81,Low
35.8,4.95,13.95,5.51,26.69,Low
36.4,25.66,26.47,5.84,61.51,Medium
21.5,14.11,15.73,3.82,28.02,Low
93.33,44.13,72.99,6.0,51.46,High
60.02,27.81,15.0,6.21,49.43,Medium
80.33,69.69,44.67,6.53,76.34,High
106.08,51.14,76.06,6.47,59.28,High
75.45,51.06,53.96,7.62,77.53,High
44.75,23.67,16.1,6.42,58.61,Medium
31.16,15.47,0.0,4.74,33.14,Low
19.09,17.13,10.61,5.56,14.94,Low
47.45,15.0,15.0,6.19,51.02,Medium
48.59,24.09,19.49,5.5,63.75,Medium
99.36,83.68,49.54,7.23,60.14,High
4.16,0.0,0.0,6.0,31.18,Low
30.75,15.08,16.66,4.6,44.88,Low
79.16,68.71,61.4,7.14,70.97,High
64.5,42.73,29.36,7.5,53.51,Medium
25.92,18.13,16.51,4.99,25.24,Low
42.85,25.84,30.1,6.44,44.66,Medium
24.77,6.82,28.11,5.21,37.92,Low
25.28,16.47,0.0,4.01,20.37,Low
29.44,0.88,14.17,5.21,14.55,Low
29.59,13.26,15.18,4.68,30.44,Low
99.4,42.45,52.04,6.7,57.28,High
115.37,44.87,58.66,6.93,70.15,High
88.7,49.71,57.24,7.34,85.98,High
30.48,37.37,44.91,6.41,64.48,Medium
39.35,38.02,32.06,5.78,63.91,Medium
23.04,8.32,6.95,5.08,33.81,Low
76.88,34.6,57.21,7.68,68.81,High
15.02,10.37,18.08,5.78,23.3,Low
44.04,23.46,20.99,5.65,41.44,Medium
34.05,3.51,13.64,4.57,20.23,Low
31.09,12.25,12.09,5.7,30.61,Low
9.32,6.41,13.07,4.41,25.18,Low
73.9,51.36,35.31,6.33,58.8,High
46.25,14.58,0.0,5.4,36.86,Low
42.62,30.93,24.96,6.4,48.52,Medium
81.11,33.36,58.28,6.8,63.92,High
81.57,78.92,59.72,6.91,53.31,High
44.07,20.38,30.99,5.5,58.98,Medium
47.68,35.54,28.84,6.27,27.53,Medium
15.3,11.84,11.99,3.86,45.0,Low
76.22,60.37,48.87,6.89,53.7,High
107.21,47.28,56.63,6.77,68.84,High
30.0,39.61,25.71,6.94,58.87,Medium
55.04,23.42,35.96,6.75,55.28,Medium
55.85,36.01,33.13,5.71,47.81,Medium
37.42,17.2,10.95,5.0,35.14,Low
24.31,13.94,14.91,5.57,30.62,Low
117.13,56.6,75.84,7.11,71.23,High
101.11,68.5,73.05,6.52,71.09,High
71.7,47.64,53.28,7.21,59.49,High
17.35,12.65,24.85,6.0,28.79,Low
51.94,16.42,23.86,6.61,46.99,Medium
26.61,8.05,16.22,3.72,42.59,Low
37.14,23.63,15.0,7.2,49.17,Medium
40.18,25.63,18.09,5.85,46.43,Medium
45.15,28.57,16.56,6.7,29.27,Medium
17.57,18.93,7.89,5.94,26.36,Low
24.77,17.38,8.16,3.98,27.72,Low
96.2,65.47,82.79,6.53,58.35,High
33.67,7.14,19.32,6.0,5.53,Low
90.12,43.88,36.41,7.53,55.01,High
88.44,41.17,54.24,6.59,51.84,High
71.48,62.98,64.82,7.26,62.07,High
15.58,19.13,16.16,5.55,34.36,Low
49.45,39.02,37.89,6.37,28.82,Medium
29.99,12.82,16.68,5.21,28.16,Low
26.55,8.87,12.81,4.86,13.93,Low
97.78,38.27,34.8,7.11,68.54,High
62.81,35.9,40.85,5.98,36.73,Medium
87.17,42.92,61.21,6.53,51.07,High
119.8,65.45,76.68,6.69,65.21,High
41.33,2.95,19.68,4.12,24.91,Low
58.2,26.32,37.57,5.86,44.64,Medium
45.13,15.0,25.24,6.02,66.32,Medium
71.12,31.3,45.14,6.96,68.77,High
113.85,60.69,46.38,6.54,61.58,High
64.37,21.42,15.0,6.46,66.88,Medium
15.26,18.99,7.89,4.67,35.15,Low
90.96,53.81,60.8,7.19,51.75,High
96.78,45.29,61.45,6.57,77.92,High
84.45,58.37,53.91,6.93,57.39,High
96.79,60.02,41.87,7.27,45.0,High
27.16,17.45,12.19,5.0,5.0,Low
17.74,21.37,11.67,4.86,25.25,Low
105.9,44.78,63.54,6.66,57.06,High
31.94,9.12,19.03,5.1,17.2,Low
88.16,48.43,39.62,7.02,62.28,High
81.81,61.67,46.9,7.61,74.06,High
66.4,22.06,48.94,5.82,52.88,Medium
58.49,42.52,22.57,5.98,48.06,Medium
13.97,9.06,4.86,4.39,22.06,Low
44.01,35.72,37.53,6.44,41.61,Medium
62.32,27.83,16.42,6.12,47.42,Medium
86.48,36.72,48.66,7.63,79.76,High
66.08,27.03,39.2,6.17,36.76,Medium
52.23,42.72,27.31,5.98,39.58,Medium
13.62,11.1,15.62,4.79,22.67,Low
54.07,18.59,37.49,7.08,35.7,Medium
22.62,11.09,21.51,4.49,43.34,Low
42.63,30.43,30.45,5.98,55.39,Medium
35.11,15.94,0.0,5.24,11.69,Low
98.64,68.76,41.82,7.09,69.55,High
102.55,37.02,67.16,6.0,52.93,High
54.53,28.53,15.0,6.66,69.98,Medium
101.57,61.34,51.58,6.5,64.26,High
122.08,57.61,56.42,6.28,64.79,High
109.63,33.94,49.18,7.03,77.74,High
66.16,32.26,43.55,6.14,40.52,Medium
20.28,8.41,16.85,4.81,18.36,Low
20.95,17.7,13.93,4.72,35.64,Low
31.53,30.66,54.46,5.72,44.13,Medium
63.12,25.95,34.23,7.2,48.54,Medium
91.93,44.18,59.21,7.0,62.86,High
42.29,28.51,25.73,6.97,53.94,Medium
52.45,42.94,20.65,6.08,67.05,Medium
65.19,69.68,70.17,6.69,55.39,High
95.38,58.96,36.4,6.86,63.0,High
107.39,67.55,57.19,7.39,46.65,High
27.57,7.26,11.4,4.86,45.0,Low
42.73,30.15,40.89,5.93,31.52,Medium
103.18,49.45,63.9,6.65,58.35,High
49.29,29.67,19.76,6.41,38.66,Medium
21.73,17.31,3.28,4.76,10.28,Low
36.87,5.72,20.71,6.0,7.85,Low
41.02,33.03,33.29,5.88,52.28,Medium
31.78,17.42,7.87,4.32,30.89,Low
59.06,20.24,18.19,6.33,43.07,Medium
58.51,26.45,30.64,5.5,53.46,Medium
53.7,29.25,40.13,5.83,39.38,Medium
19.65,10.0,4.97,4.57,22.67,Low
62.08,17.38,38.01,5.73,43.81,Medium
107.2,35.85,66.27,7.46,53.78,High
39.08,20.69,16.26,4.81,16.76,Low
51.13,15.0,37.55,6.16,62.63,Medium
87.6,51.97,55.26,6.0,59.34,High
35.79,14.86,10.58,6.0,20.83,Low
51.14,16.47,35.95,5.75,54.84,Medium
115.47,52.52,60.17,6.69,61.07,High
53.0,37.68,15.0,5.5,25.0,Medium
26.95,21.44,7.83,5.66,18.9,Low
89.04,50.84,62.91,6.54,72.13,High
8.46,10.97,12.7,4.89,15.28,Low
30.0,35.24,27.45,5.94,50.55,Medium
15.23,15.28,2.73,5.72,22.32,Low
48.59,30.59,15.0,5.76,52.36,Medium
87.83,60.27,36.58,6.69,71.8,High
56.42,38.29,19.34,5.93,35.89,Medium
61.96,34.89,36.55,6.32,32.64,Medium
